Day,P1,P2,P3,P4,P5,P6,P7,P8,P9
Monday,IDP (VU017) [lecture] @N409,CN (VU012) [lecture] @N409,BREAK,DMT (VU011) [lecture] @N403,MSD (VU014) [lab] @N403,MSD (VU014) [lab] @N403,BREAK,WT-L (VU018) [lab] @N414,WT-L (VU018) [lab] @N414
Tuesday,MSD (VU014) [lab] @N409,MSD (VU014) [lab] @N409,BREAK,CD (VU010) [lecture] @N410,CD (VU010) [lecture] @N410,IA1 (VU016) [lecture] @N410,BREAK,CN (VU012) [lecture] @N401,IA1 (VU016) [lecture] @N401
Wednesday,MSD (VU014) [lab] @N414,MSD (VU014) [lab] @N414,BREAK,DMT-LAB (VU011) [lab] @N410,DMT-LAB (VU011) [lab] @N410,CD (VU010) [lecture] @N410,BREAK,MSD (VU014) [lab] @N410,MSD (VU014) [lab] @N410
Thursday,CN-LAB (VU012) [lab] @N414,CN-LAB (VU012) [lab] @N414,BREAK,IA1 (VU016) [lecture] @N414,ML (VU013) [lecture] @N414,IA1 (VU016) [lecture] @N414,BREAK,SS-LAB (VU015) [lab] @N410,SS-LAB (VU015) [lab] @N410
Friday,ML (VU013) [lecture] @N403,CD (VU010) [lecture] @N403,BREAK,DMT (VU011) [lecture] @N410,CD (VU010) [lecture] @N410,CN (VU012) [lecture] @N410,BREAK,DMT (VU011) [lecture] @N413,CD (VU010) [lecture] @N413
Saturday,ML (VU013) [lecture] @N404,CN (VU012) [lecture] @N404,BREAK,ML (VU013) [lecture] @N409,IDP (VU017) [lecture] @N409,IA1 (VU016) [lecture] @N409,BREAK,ML-L (VU013) [lab] @N401,ML-L (VU013) [lab] @N401
