Day,P1,P2,P3,P4,P5,P6,P7,P8,P9
Monday,DMT (Sec 3A8) [lecture] @N405,,BREAK,DMT (Sec 3A8) [lecture] @N414,,DMT (Sec 3A7) [lecture] @N401,BREAK,DMT-LAB (Sec 3A9) [lab] @N411,DMT-LAB (Sec 3A9) [lab] @N411
Tuesday,,,BREAK,,,DMT (Sec 3A9) [lecture] @N413,BREAK,DMT (Sec 3A7) [lecture] @N406,
Wednesday,DMT (Sec 3A9) [lecture] @N405,,BREAK,DMT (Sec 3A8) [lecture] @N408,DMT-LAB (Sec 3A8) [lab] @N408,DMT-LAB (Sec 3A8) [lab] @N408,BREAK,,DMT (Sec 3A7) [lecture] @N412
Thursday,,,BREAK,,,,BREAK,DMT-LAB (Sec 3A7) [lab] @N414,DMT-LAB (Sec 3A7) [lab] @N414
Friday,,,BREAK,,,,BREAK,,
Saturday,,,BREAK,,DMT (Sec 3A9) [lecture] @N403,,BREAK,,
