Day,P1,P2,P3,P4,P5,P6,P7,P8,P9
Monday,DMT (Sec 3A3) [lecture] @N411,,BREAK,,DMT-LAB (Sec 3A1) [lab] @N409,DMT-LAB (Sec 3A1) [lab] @N409,BREAK,,
Tuesday,,,BREAK,DMT-LAB (Sec 3A2) [lab] @N405,DMT-LAB (Sec 3A2) [lab] @N405,,BREAK,,DMT (Sec 3A1) [lecture] @N402
Wednesday,DMT (Sec 3A1) [lecture] @N408,DMT (Sec 3A2) [lecture] @N413,BREAK,DMT-LAB (Sec 3A3) [lab] @N413,DMT-LAB (Sec 3A3) [lab] @N413,,BREAK,DMT (Sec 3A2) [lecture] @N415,
Thursday,,DMT (Sec 3A2) [lecture] @N403,BREAK,,,,BREAK,,
Friday,DMT (Sec 3A1) [lecture] @N404,DMT (Sec 3A3) [lecture] @N414,BREAK,DMT (Sec 3A3) [lecture] @N412,,,BREAK,,
Saturday,,,BREAK,,,,BREAK,,
