Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F321) [lecture] @R055,C001 (F321) [lecture] @R055
Monday,,,C002 (F322) [lecture] @R014,C001 (F321) [lecture] @R020,BREAK,C009 (F329) [lab] @L011,C009 (F329) [lab] @L011,C009 (F329) [lab] @L011
Thursday,C008 (F328) [lab] @L009,C008 (F328) [lab] @L009,C010 (F330) [lab] @L010,C010 (F330) [lab] @L010,BREAK,C002 (F322) [lecture] @R035,C003 (F323) [lecture] @R035,C003 (F323) [lecture] @R036
Tuesday,C003 (F323) [lecture] @R037,C003 (F323) [lecture] @R041,C004 (F324) [lecture] @R038,C004 (F324) [lecture] @R038,BREAK,C004 (F324) [lecture] @R020,C005 (F325) [lecture] @R041,C005 (F325) [lecture] @R036
Wednesday,C006 (F326) [lecture] @R022,C006 (F326) [lecture] @R038,C006 (F326) [lecture] @R030,C007 (F327) [lecture] @R038,BREAK,C006 (F326) [lecture] @R023,C007 (F327) [lecture] @R035,C007 (F327) [lecture] @R033
