Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F61) [lecture] @R033,C001 (F61) [lecture] @R029,C001 (F61) [lecture] @R033,C002 (F62) [lecture] @R033,BREAK,C002 (F62) [lecture] @R032,C003 (F63) [lecture] @R030,C003 (F63) [lecture] @R033
Thursday,C003 (F63) [lecture] @R029,C003 (F63) [lecture] @R031,C004 (F64) [lecture] @R034,C004 (F64) [lecture] @R030,BREAK,C009 (F69) [lab] @L008,C009 (F69) [lab] @L008,C009 (F69) [lab] @L008
Tuesday,C008 (F68) [lab] @L004,C008 (F68) [lab] @L004,C010 (F70) [lab] @L004,C010 (F70) [lab] @L004,BREAK,C004 (F64) [lecture] @R035,C005 (F65) [lecture] @R055,C005 (F65) [lecture] @R049
Wednesday,C006 (F66) [lecture] @R031,C006 (F66) [lecture] @R054,C006 (F66) [lecture] @R051,C006 (F66) [lecture] @R051,BREAK,C007 (F67) [lecture] @R029,C007 (F67) [lecture] @R052,C007 (F67) [lecture] @R045
