Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F181) [lecture] @R042,C001 (F181) [lecture] @R043,C001 (F181) [lecture] @R044,C002 (F182) [lecture] @R041,BREAK,C002 (F182) [lecture] @R042,C003 (F183) [lecture] @R045,C003 (F183) [lecture] @R044
Thursday,C003 (F183) [lecture] @R041,C003 (F183) [lecture] @R043,C004 (F184) [lecture] @R045,C004 (F184) [lecture] @R039,BREAK,C009 (F189) [lab] @L016,C009 (F189) [lab] @L016,C009 (F189) [lab] @L016
Tuesday,C008 (F188) [lab] @L021,C008 (F188) [lab] @L021,C010 (F190) [lab] @L015,C010 (F190) [lab] @L015,BREAK,C004 (F184) [lecture] @R043,C005 (F185) [lecture] @R066,C005 (F185) [lecture] @R062
Wednesday,C006 (F186) [lecture] @R046,C006 (F186) [lecture] @R066,C006 (F186) [lecture] @R063,C006 (F186) [lecture] @R060,BREAK,C007 (F187) [lecture] @R046,C007 (F187) [lecture] @R067,C007 (F187) [lecture] @R060
