Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F311) [lecture] @R058,C001 (F311) [lecture] @R056
Monday,,,C002 (F312) [lecture] @R016,C001 (F311) [lecture] @R015,BREAK,C009 (F319) [lab] @L014,C009 (F319) [lab] @L014,C009 (F319) [lab] @L014
Thursday,C008 (F318) [lab] @L011,C008 (F318) [lab] @L011,C010 (F320) [lab] @L009,C010 (F320) [lab] @L009,BREAK,C002 (F312) [lecture] @R036,C003 (F313) [lecture] @R041,C003 (F313) [lecture] @R035
Tuesday,C003 (F313) [lecture] @R034,C003 (F313) [lecture] @R033,C004 (F314) [lecture] @R034,C004 (F314) [lecture] @R035,BREAK,C004 (F314) [lecture] @R017,C005 (F315) [lecture] @R038,C005 (F315) [lecture] @R038
Wednesday,C006 (F316) [lecture] @R019,C006 (F316) [lecture] @R036,C006 (F316) [lecture] @R036,C007 (F317) [lecture] @R036,BREAK,C006 (F316) [lecture] @R017,C007 (F317) [lecture] @R038,C007 (F317) [lecture] @R037
