Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F31) [lecture] @R068,C001 (F31) [lecture] @R067
Monday,,,C003 (F33) [lecture] @R025,C003 (F33) [lecture] @R030,BREAK,C003 (F33) [lecture] @R026,C001 (F31) [lecture] @R028,C002 (F32) [lecture] @R029
Thursday,C002 (F32) [lecture] @R027,C004 (F34) [lecture] @R029,C008 (F38) [lab] @L019,C008 (F38) [lab] @L019,BREAK,C003 (F33) [lecture] @R046,C010 (F40) [lab] @L002,C010 (F40) [lab] @L002
Tuesday,C004 (F34) [lecture] @R055,C009 (F39) [lab] @L003,C009 (F39) [lab] @L003,C009 (F39) [lab] @L003,BREAK,C004 (F34) [lecture] @R032,C005 (F35) [lecture] @R049,C005 (F35) [lecture] @R047
Wednesday,C006 (F36) [lecture] @R029,C006 (F36) [lecture] @R048,C006 (F36) [lecture] @R050,C007 (F37) [lecture] @R049,BREAK,C006 (F36) [lecture] @R027,C007 (F37) [lecture] @R046,C007 (F37) [lecture] @R051
