Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F381) [lecture] @R065,C001 (F381) [lecture] @R062
Monday,,,C002 (F382) [lecture] @R023,C001 (F381) [lecture] @R024,BREAK,C009 (F389) [lab] @L020,C009 (F389) [lab] @L020,C009 (F389) [lab] @L020
Thursday,C008 (F388) [lab] @L020,C008 (F388) [lab] @L020,C010 (F390) [lab] @L015,C010 (F390) [lab] @L015,BREAK,C002 (F382) [lecture] @R041,C003 (F383) [lecture] @R046,C003 (F383) [lecture] @R047
Tuesday,C003 (F383) [lecture] @R042,C003 (F383) [lecture] @R043,C004 (F384) [lecture] @R040,C004 (F384) [lecture] @R044,BREAK,C004 (F384) [lecture] @R027,C005 (F385) [lecture] @R044,C005 (F385) [lecture] @R046
Wednesday,C006 (F386) [lecture] @R024,C006 (F386) [lecture] @R044,C006 (F386) [lecture] @R040,C007 (F387) [lecture] @R041,BREAK,C006 (F386) [lecture] @R025,C007 (F387) [lecture] @R045,C007 (F387) [lecture] @R039
