Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F271) [lecture] @R055,C001 (F271) [lecture] @R053,C001 (F271) [lecture] @R046,C002 (F272) [lecture] @R052,BREAK,C002 (F272) [lecture] @R054,C003 (F273) [lecture] @R055,C003 (F273) [lecture] @R052
Thursday,C003 (F273) [lecture] @R055,C003 (F273) [lecture] @R050,C004 (F274) [lecture] @R050,C004 (F274) [lecture] @R048,BREAK,C004 (F274) [lecture] @R055,C005 (F275) [lecture] @R052,C005 (F275) [lecture] @R056
Tuesday,C006 (F276) [lecture] @R050,C006 (F276) [lecture] @R050,C006 (F276) [lecture] @R051,C006 (F276) [lecture] @R050,BREAK,C007 (F277) [lecture] @R053,C008 (F278) [lab] @L006,C008 (F278) [lab] @L006
Wednesday,C007 (F277) [lecture] @R051,C009 (F279) [lab] @L003,C009 (F279) [lab] @L003,C009 (F279) [lab] @L003,BREAK,C007 (F277) [lecture] @R045,C010 (F280) [lab] @L005,C010 (F280) [lab] @L005
