Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F1) [lecture] @R061,C001 (F1) [lecture] @R064
Monday,,,C002 (F2) [lecture] @R026,C001 (F1) [lecture] @R028,BREAK,C009 (F9) [lab] @L018,C009 (F9) [lab] @L018,C009 (F9) [lab] @L018
Thursday,C008 (F8) [lab] @L016,C008 (F8) [lab] @L016,C010 (F10) [lab] @L018,C010 (F10) [lab] @L018,BREAK,C002 (F2) [lecture] @R045,C003 (F3) [lecture] @R045,C003 (F3) [lecture] @R048
Tuesday,C003 (F3) [lecture] @R040,C003 (F3) [lecture] @R046,C004 (F4) [lecture] @R048,C004 (F4) [lecture] @R046,BREAK,C004 (F4) [lecture] @R030,C005 (F5) [lecture] @R043,C005 (F5) [lecture] @R043
Wednesday,C006 (F6) [lecture] @R026,C006 (F6) [lecture] @R045,C006 (F6) [lecture] @R046,C007 (F7) [lecture] @R046,BREAK,C006 (F6) [lecture] @R031,C007 (F7) [lecture] @R044,C007 (F7) [lecture] @R043
