Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F341) [lecture] @R060,C001 (F341) [lecture] @R058,C001 (F341) [lecture] @R060,C002 (F342) [lecture] @R056,BREAK,C002 (F342) [lecture] @R058,C003 (F343) [lecture] @R058,C003 (F343) [lecture] @R057
Thursday,C003 (F343) [lecture] @R060,C003 (F343) [lecture] @R056,C004 (F344) [lecture] @R060,C004 (F344) [lecture] @R063,BREAK,C004 (F344) [lecture] @R059,C005 (F345) [lecture] @R058,C005 (F345) [lecture] @R059
Tuesday,C006 (F346) [lecture] @R056,C006 (F346) [lecture] @R059,C006 (F346) [lecture] @R059,C006 (F346) [lecture] @R059,BREAK,C007 (F347) [lecture] @R060,C008 (F348) [lab] @L016,C008 (F348) [lab] @L016
Wednesday,C007 (F347) [lecture] @R060,C009 (F349) [lab] @L015,C009 (F349) [lab] @L015,C009 (F349) [lab] @L015,BREAK,C007 (F347) [lecture] @R057,C010 (F350) [lab] @L009,C010 (F350) [lab] @L009
