Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F261) [lecture] @R049,C001 (F261) [lecture] @R052,C001 (F261) [lecture] @R055,C002 (F262) [lecture] @R051,BREAK,C002 (F262) [lecture] @R052,C003 (F263) [lecture] @R051,C003 (F263) [lecture] @R050
Thursday,C003 (F263) [lecture] @R049,C003 (F263) [lecture] @R049,C004 (F264) [lecture] @R052,C004 (F264) [lecture] @R051,BREAK,C004 (F264) [lecture] @R050,C005 (F265) [lecture] @R048,C005 (F265) [lecture] @R050
Tuesday,C006 (F266) [lecture] @R049,C006 (F266) [lecture] @R056,C006 (F266) [lecture] @R052,C006 (F266) [lecture] @R051,BREAK,C007 (F267) [lecture] @R050,C008 (F268) [lab] @L003,C008 (F268) [lab] @L003
Wednesday,C007 (F267) [lecture] @R056,C009 (F269) [lab] @L004,C009 (F269) [lab] @L004,C009 (F269) [lab] @L004,BREAK,C010 (F270) [lab] @L004,C010 (F270) [lab] @L004,C007 (F267) [lecture] @R068
