Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,C001 (F261) [lecture] @R057,C001 (F261) [lecture] @R054
Monday,,,C002 (F262) [lecture] @R015,C001 (F261) [lecture] @R010,BREAK,C009 (F269) [lab] @L008,C009 (F269) [lab] @L008,C009 (F269) [lab] @L008
Thursday,C008 (F268) [lab] @L004,C008 (F268) [lab] @L004,C010 (F270) [lab] @L002,C010 (F270) [lab] @L002,BREAK,C002 (F262) [lecture] @R031,C003 (F263) [lecture] @R037,C003 (F263) [lecture] @R029
Tuesday,C003 (F263) [lecture] @R035,C003 (F263) [lecture] @R039,C004 (F264) [lecture] @R035,C004 (F264) [lecture] @R033,BREAK,C004 (F264) [lecture] @R012,C005 (F265) [lecture] @R031,C005 (F265) [lecture] @R032
Wednesday,C006 (F266) [lecture] @R015,C006 (F266) [lecture] @R031,C006 (F266) [lecture] @R029,C007 (F267) [lecture] @R033,BREAK,C007 (F267) [lecture] @R013,C007 (F267) [lecture] @R033,C006 (F266) [lecture] @R029
