Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,C009 (F169) [lab] @L016,C009 (F169) [lab] @L016,C009 (F169) [lab] @L016
Monday,C008 (F168) [lab] @L015,C008 (F168) [lab] @L015,C010 (F170) [lab] @L016,C010 (F170) [lab] @L016,BREAK,,,
Thursday,C001 (F161) [lecture] @R018,C001 (F161) [lecture] @R024,C001 (F161) [lecture] @R019,C002 (F162) [lecture] @R019,BREAK,C002 (F162) [lecture] @R016,C003 (F163) [lecture] @R024,C003 (F163) [lecture] @R028
Tuesday,C003 (F163) [lecture] @R025,C003 (F163) [lecture] @R023,C004 (F164) [lecture] @R024,C004 (F164) [lecture] @R024,BREAK,C005 (F165) [lecture] @R007,C004 (F164) [lecture] @R023,C006 (F166) [lecture] @R027
Wednesday,C005 (F165) [lecture] @R002,C007 (F167) [lecture] @R022,C007 (F167) [lecture] @R022,C007 (F167) [lecture] @R019,BREAK,C006 (F166) [lecture] @R004,C006 (F166) [lecture] @R024,C006 (F166) [lecture] @R018
