Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,,,,,BREAK,,,
Monday,C001 (F141) [lecture] @R039,C001 (F141) [lecture] @R038,C001 (F141) [lecture] @R036,C002 (F142) [lecture] @R038,BREAK,C002 (F142) [lecture] @R039,C003 (F143) [lecture] @R039,C003 (F143) [lecture] @R039
Thursday,C003 (F143) [lecture] @R037,C003 (F143) [lecture] @R040,C004 (F144) [lecture] @R031,C004 (F144) [lecture] @R038,BREAK,C009 (F149) [lab] @L014,C009 (F149) [lab] @L014,C009 (F149) [lab] @L014
Tuesday,C008 (F148) [lab] @L011,C008 (F148) [lab] @L011,C010 (F150) [lab] @L016,C010 (F150) [lab] @L016,BREAK,C004 (F144) [lecture] @R041,C005 (F145) [lecture] @R059,C005 (F145) [lecture] @R060
Wednesday,C006 (F146) [lecture] @R041,C006 (F146) [lecture] @R058,C006 (F146) [lecture] @R058,C006 (F146) [lecture] @R059,BREAK,C007 (F147) [lecture] @R039,C007 (F147) [lecture] @R060,C007 (F147) [lecture] @R058
