Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C007 (F17) [lecture] @R011,,C002 (F12) [lecture] @R002,C001 (F11) [lecture] @R013,BREAK,C010 (F20) [lab] @L005,C010 (F20) [lab] @L005,C003 (F13) [lecture] @R006
Monday,C001 (F11) [lecture] @R010,C004 (F14) [lecture] @R008,,C001 (F11) [lecture] @R005,BREAK,,C005 (F15) [lecture] @R005,C003 (F13) [lecture] @R010
Thursday,,C003 (F13) [lecture] @R009,C007 (F17) [lecture] @R002,C004 (F14) [lecture] @R010,BREAK,,C006 (F16) [lecture] @R002,
Tuesday,C007 (F17) [lecture] @R006,C009 (F19) [lab] @L003,C009 (F19) [lab] @L003,C009 (F19) [lab] @L003,BREAK,,C003 (F13) [lecture] @R002,C005 (F15) [lecture] @R009
Wednesday,C004 (F14) [lecture] @R006,C006 (F16) [lecture] @R005,C006 (F16) [lecture] @R009,C002 (F12) [lecture] @R010,BREAK,C008 (F18) [lab] @L005,C008 (F18) [lab] @L005,C006 (F16) [lecture] @R009
