Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C002 (F67) [lecture] @R013,C007 (F72) [lecture] @R010,C002 (F67) [lecture] @R011,C003 (F68) [lecture] @R004,BREAK,C005 (F70) [lecture] @R008,,C006 (F71) [lecture] @R011
Monday,C010 (F75) [lab] @L001,C010 (F75) [lab] @L001,,C003 (F68) [lecture] @R009,BREAK,C001 (F66) [lecture] @R008,C004 (F69) [lecture] @R002,C004 (F69) [lecture] @R008
Thursday,C005 (F70) [lecture] @R009,C006 (F71) [lecture] @R005,C006 (F71) [lecture] @R004,,BREAK,C001 (F66) [lecture] @R008,C007 (F72) [lecture] @R008,
Tuesday,,C004 (F69) [lecture] @R006,,C007 (F72) [lecture] @R014,BREAK,,C008 (F73) [lab] @L003,C008 (F73) [lab] @L003
Wednesday,C003 (F68) [lecture] @R014,C006 (F71) [lecture] @R007,C001 (F66) [lecture] @R012,C003 (F68) [lecture] @R003,BREAK,C009 (F74) [lab] @L001,C009 (F74) [lab] @L001,C009 (F74) [lab] @L001
