Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C010 (F15) [lab] @L003,C010 (F15) [lab] @L003,C006 (F11) [lecture] @R008,,BREAK,C004 (F9) [lecture] @R013,C007 (F12) [lecture] @R008,C003 (F8) [lecture] @R007
Monday,,C008 (F13) [lab] @L005,C008 (F13) [lab] @L005,C004 (F9) [lecture] @R006,BREAK,,C001 (F6) [lecture] @R013,
Thursday,C007 (F12) [lecture] @R002,C007 (F12) [lecture] @R008,C002 (F7) [lecture] @R010,C005 (F10) [lecture] @R005,BREAK,C009 (F14) [lab] @L003,C009 (F14) [lab] @L003,C009 (F14) [lab] @L003
Tuesday,,,C002 (F7) [lecture] @R003,C003 (F8) [lecture] @R008,BREAK,C006 (F11) [lecture] @R013,C006 (F11) [lecture] @R011,C001 (F6) [lecture] @R010
Wednesday,C006 (F11) [lecture] @R013,C004 (F9) [lecture] @R014,C001 (F6) [lecture] @R001,C003 (F8) [lecture] @R012,BREAK,C005 (F10) [lecture] @R007,C003 (F8) [lecture] @R008,
