Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,"S1:C001, S2:C007, S3:C008, S5:C007, S6:C003, S7:C003, S8:C005, S9:C004, S10:C010, S11:C003, S12:C002, S13:C007, S14:C004, S15:C001, S16:C002, S17:C001","S1:C004, S3:C008, S4:C003, S5:C007, S7:C004, S9:C003, S10:C010, S11:C001, S12:C001, S13:C001, S14:C006, S16:C007, S17:C006","S1:C002, S2:C002, S3:C001, S5:C006, S6:C007, S8:C008, S10:C006, S11:C008, S13:C003, S15:C006, S16:C002, S17:C005","S1:C001, S2:C001, S5:C007, S6:C006, S7:C005, S8:C008, S11:C008, S12:C006, S13:C006, S14:C003, S16:C003, S17:C005",BREAK,"S2:C010, S3:C004, S4:C001, S5:C004, S6:C009, S7:C005, S8:C003, S9:C007, S10:C004, S11:C001, S13:C001, S15:C009, S16:C005","S1:C003, S2:C010, S3:C010, S4:C006, S6:C009, S7:C001, S10:C007, S13:C003, S14:C008, S15:C009, S17:C006","S2:C003, S3:C010, S4:C006, S5:C002, S6:C009, S7:C003, S8:C004, S9:C001, S10:C003, S12:C004, S14:C008, S15:C009, S16:C006"
Monday,"S2:C001, S7:C001, S8:C004, S9:C009, S11:C001, S13:C001, S14:C003, S15:C001, S16:C010, S17:C006","S1:C006, S2:C004, S3:C003, S4:C009, S5:C009, S6:C004, S7:C007, S9:C009, S10:C008, S11:C005, S12:C006, S14:C006, S15:C003, S16:C010","S1:C003, S3:C006, S4:C009, S5:C009, S7:C004, S8:C007, S9:C009, S10:C008, S11:C010, S12:C007, S14:C007, S17:C004","S2:C001, S4:C009, S5:C009, S6:C004, S7:C007, S8:C006, S9:C006, S10:C004, S11:C010, S13:C007, S14:C001, S15:C007, S16:C003, S17:C003",BREAK,"S1:C009, S3:C003, S4:C010, S5:C004, S6:C007, S7:C010, S8:C001, S9:C007, S11:C009, S12:C003, S14:C004, S15:C004, S16:C001, S17:C008","S1:C009, S2:C005, S3:C007, S4:C010, S5:C006, S7:C010, S8:C006, S10:C001, S11:C009, S12:C006, S13:C007, S14:C006, S15:C004, S16:C004, S17:C008","S1:C009, S2:C003, S3:C003, S5:C003, S6:C006, S8:C007, S9:C001, S11:C009, S12:C002, S13:C004, S15:C003, S16:C004"
Thursday,"S1:C006, S3:C003, S4:C002, S5:C010, S6:C001, S7:C006, S8:C010, S9:C003, S10:C007, S11:C002, S12:C003, S13:C005, S14:C001, S15:C006, S16:C005, S17:C003","S1:C008, S2:C003, S3:C006, S4:C001, S5:C010, S6:C004, S7:C001, S8:C010, S9:C005, S10:C007, S11:C005, S12:C009, S13:C006, S14:C003, S16:C006, S17:C001","S1:C008, S2:C007, S3:C005, S4:C005, S6:C010, S7:C007, S8:C005, S9:C002, S10:C002, S11:C007, S12:C009, S13:C008, S14:C010, S15:C006, S16:C006, S17:C003","S1:C007, S2:C004, S4:C006, S5:C006, S6:C010, S8:C006, S9:C002, S10:C005, S11:C007, S12:C009, S13:C008, S14:C010, S15:C003, S17:C006",BREAK,"S1:C010, S4:C004, S6:C005, S7:C003, S8:C001, S9:C004, S10:C009, S11:C004, S12:C005, S13:C009, S14:C005, S15:C006, S16:C001, S17:C003","S1:C010, S2:C006, S3:C007, S4:C003, S5:C003, S7:C004, S8:C001, S10:C009, S11:C006, S13:C009, S14:C007, S15:C010, S16:C007","S3:C007, S4:C005, S5:C002, S6:C005, S7:C002, S9:C007, S10:C009, S12:C001, S13:C009, S15:C010, S17:C002"
Tuesday,"S1:C001, S2:C007, S3:C001, S4:C008, S5:C004, S6:C003, S7:C003, S11:C003, S12:C010, S13:C010, S14:C001, S15:C004","S1:C003, S2:C009, S3:C005, S4:C008, S5:C001, S6:C006, S7:C002, S8:C002, S9:C001, S11:C006, S12:C010, S13:C010, S14:C003, S15:C002, S16:C004, S17:C001","S1:C005, S2:C009, S3:C006, S4:C002, S5:C005, S6:C008, S7:C008, S9:C004, S10:C002, S11:C006, S12:C005, S14:C005, S17:C002","S1:C002, S2:C009, S3:C004, S4:C007, S5:C001, S6:C008, S7:C008, S8:C003, S10:C003, S14:C007, S15:C002, S16:C007",BREAK,"S1:C006, S3:C001, S4:C007, S5:C003, S6:C001, S7:C009, S8:C003, S9:C010, S10:C006, S11:C007, S12:C001, S13:C004, S15:C007, S17:C007","S1:C003, S2:C003, S4:C003, S5:C008, S6:C002, S7:C009, S8:C006, S9:C010, S10:C006, S11:C002, S12:C007, S13:C006, S15:C001, S16:C008, S17:C007","S1:C007, S2:C005, S3:C002, S4:C004, S5:C008, S6:C003, S7:C009, S9:C006, S10:C001, S11:C003, S12:C004, S13:C003, S14:C004, S15:C003, S16:C008, S17:C007"
Wednesday,"S1:C007, S2:C004, S3:C009, S4:C001, S5:C005, S8:C002, S9:C003, S10:C006, S11:C003, S12:C003, S13:C002, S14:C009, S15:C008, S16:C003, S17:C004","S1:C004, S2:C006, S3:C009, S4:C004, S6:C006, S7:C006, S8:C007, S9:C006, S10:C004, S11:C004, S12:C008, S13:C005, S14:C009, S15:C008, S16:C006, S17:C004","S2:C006, S3:C009, S5:C006, S8:C004, S9:C003, S10:C001, S11:C006, S12:C008, S13:C003, S14:C009, S15:C005, S16:C001, S17:C010","S1:C006, S2:C002, S3:C006, S4:C006, S6:C001, S7:C006, S8:C003, S9:C006, S10:C003, S12:C006, S13:C006, S16:C003, S17:C010",BREAK,"S2:C008, S6:C003, S7:C006, S8:C009, S9:C005, S10:C005, S12:C007, S13:C002, S14:C002, S16:C009, S17:C009","S1:C004, S2:C008, S3:C004, S4:C003, S5:C001, S6:C002, S8:C009, S9:C008, S10:C003, S12:C003, S14:C006, S15:C005, S16:C009, S17:C009","S1:C005, S2:C006, S3:C002, S4:C007, S5:C003, S6:C007, S8:C009, S9:C008, S11:C004, S12:C004, S13:C004, S14:C002, S15:C007, S16:C009, S17:C009"
