Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C005 (F75) [lecture] @R034,C006 (F76) [lecture] @R023,C006 (F76) [lecture] @R020,C007 (F77) [lecture] @R018,BREAK,,C010 (F80) [lab] @L004,C010 (F80) [lab] @L004
Monday,,C007 (F77) [lecture] @R010,,C003 (F73) [lecture] @R037,BREAK,C004 (F74) [lecture] @R013,C001 (F71) [lecture] @R018,
Thursday,C001 (F71) [lecture] @R021,C009 (F79) [lab] @L006,C009 (F79) [lab] @L006,C009 (F79) [lab] @L006,BREAK,C006 (F76) [lecture] @R028,C003 (F73) [lecture] @R014,C006 (F76) [lecture] @R039
Tuesday,C002 (F72) [lecture] @R035,C007 (F77) [lecture] @R019,C005 (F75) [lecture] @R006,C004 (F74) [lecture] @R015,BREAK,C002 (F72) [lecture] @R008,,
Wednesday,C001 (F71) [lecture] @R023,C004 (F74) [lecture] @R006,C008 (F78) [lab] @L010,C008 (F78) [lab] @L010,BREAK,,C003 (F73) [lecture] @R014,C003 (F73) [lecture] @R025
