Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C006 (F136) [lecture] @R005,,C007 (F137) [lecture] @R035,C002 (F132) [lecture] @R013,BREAK,C005 (F135) [lecture] @R036,C006 (F136) [lecture] @R006,
Monday,C010 (F140) [lab] @L001,C010 (F140) [lab] @L001,C003 (F133) [lecture] @R018,C002 (F132) [lecture] @R018,BREAK,C001 (F131) [lecture] @R004,C004 (F134) [lecture] @R019,C007 (F137) [lecture] @R002
Thursday,C001 (F131) [lecture] @R033,,,C006 (F136) [lecture] @R003,BREAK,C003 (F133) [lecture] @R012,,C004 (F134) [lecture] @R022
Tuesday,C003 (F133) [lecture] @R019,C008 (F138) [lab] @L005,C008 (F138) [lab] @L005,C001 (F131) [lecture] @R005,BREAK,C009 (F139) [lab] @L011,C009 (F139) [lab] @L011,C009 (F139) [lab] @L011
Wednesday,C007 (F137) [lecture] @R010,,C006 (F136) [lecture] @R036,C003 (F133) [lecture] @R002,BREAK,C005 (F135) [lecture] @R017,C004 (F134) [lecture] @R039,
