Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C005 (F25) [lecture] @R011,C003 (F23) [lecture] @R019,C006 (F26) [lecture] @R022,,BREAK,C004 (F24) [lecture] @R027,C006 (F26) [lecture] @R016,C002 (F22) [lecture] @R033
Monday,C009 (F29) [lab] @L005,C009 (F29) [lab] @L005,C009 (F29) [lab] @L005,C001 (F21) [lecture] @R021,BREAK,C004 (F24) [lecture] @R025,,C006 (F26) [lecture] @R026
Thursday,C010 (F30) [lab] @L009,C010 (F30) [lab] @L009,C004 (F24) [lecture] @R012,,BREAK,,C001 (F21) [lecture] @R038,C001 (F21) [lecture] @R016
Tuesday,C007 (F27) [lecture] @R034,,C008 (F28) [lab] @L012,C008 (F28) [lab] @L012,BREAK,C007 (F27) [lecture] @R015,C006 (F26) [lecture] @R025,
Wednesday,C002 (F22) [lecture] @R028,C003 (F23) [lecture] @R007,,C007 (F27) [lecture] @R006,BREAK,C003 (F23) [lecture] @R039,C005 (F25) [lecture] @R032,C003 (F23) [lecture] @R040
