Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C006 (F106) [lecture] @R021,C006 (F106) [lecture] @R026,C003 (F103) [lecture] @R037,C007 (F107) [lecture] @R029,BREAK,C002 (F102) [lecture] @R015,C003 (F103) [lecture] @R013,
Monday,C008 (F108) [lab] @L003,C008 (F108) [lab] @L003,C004 (F104) [lecture] @R001,,BREAK,C001 (F101) [lecture] @R031,C001 (F101) [lecture] @R014,C007 (F107) [lecture] @R004
Thursday,C006 (F106) [lecture] @R016,C002 (F102) [lecture] @R022,C010 (F110) [lab] @L009,C010 (F110) [lab] @L009,BREAK,,C007 (F107) [lecture] @R017,
Tuesday,C003 (F103) [lecture] @R037,C004 (F104) [lecture] @R027,C005 (F105) [lecture] @R004,C004 (F104) [lecture] @R009,BREAK,C009 (F109) [lab] @L002,C009 (F109) [lab] @L002,C009 (F109) [lab] @L002
Wednesday,C001 (F101) [lecture] @R019,C005 (F105) [lecture] @R004,C003 (F103) [lecture] @R022,C006 (F106) [lecture] @R037,BREAK,,,
