Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C007 (F207) [lecture] @R026,,C010 (F210) [lab] @L011,C010 (F210) [lab] @L011,BREAK,C001 (F201) [lecture] @R004,C003 (F203) [lecture] @R032,C003 (F203) [lecture] @R024
Monday,C002 (F202) [lecture] @R022,C007 (F207) [lecture] @R032,C004 (F204) [lecture] @R021,C003 (F203) [lecture] @R002,BREAK,,C004 (F204) [lecture] @R021,C007 (F207) [lecture] @R019
Thursday,C006 (F206) [lecture] @R032,C005 (F205) [lecture] @R004,,C004 (F204) [lecture] @R020,BREAK,C009 (F209) [lab] @L001,C009 (F209) [lab] @L001,C009 (F209) [lab] @L001
Tuesday,C008 (F208) [lab] @L008,C008 (F208) [lab] @L008,,C006 (F206) [lecture] @R037,BREAK,,C005 (F205) [lecture] @R022,C002 (F202) [lecture] @R013
Wednesday,C003 (F203) [lecture] @R020,C006 (F206) [lecture] @R023,,C001 (F201) [lecture] @R033,BREAK,C001 (F201) [lecture] @R027,,C006 (F206) [lecture] @R004
