Day,P1,P2,P3,P4,P5,P6,P7,P8
Friday,C009 (F69) [lab] @L003,C009 (F69) [lab] @L003,C009 (F69) [lab] @L003,C001 (F61) [lecture] @R039,BREAK,,C003 (F63) [lecture] @R009,C007 (F67) [lecture] @R028
Monday,C001 (F61) [lecture] @R005,C006 (F66) [lecture] @R017,C006 (F66) [lecture] @R028,C005 (F65) [lecture] @R009,BREAK,C003 (F63) [lecture] @R029,,
Thursday,C007 (F67) [lecture] @R040,C004 (F64) [lecture] @R003,,,BREAK,C003 (F63) [lecture] @R034,C007 (F67) [lecture] @R010,C002 (F62) [lecture] @R025
Tuesday,C008 (F68) [lab] @L010,C008 (F68) [lab] @L010,C010 (F70) [lab] @L007,C010 (F70) [lab] @L007,BREAK,C004 (F64) [lecture] @R019,C001 (F61) [lecture] @R010,
Wednesday,C006 (F66) [lecture] @R027,C004 (F64) [lecture] @R026,C005 (F65) [lecture] @R033,,BREAK,C002 (F62) [lecture] @R021,C003 (F63) [lecture] @R017,C006 (F66) [lecture] @R011
